"","ID.Number","Rank_gift","predicted_gift_amount"
"62",729,62,7811.50720595428
"63",344253,63,7784.68933797314
"64",497962,64,7751.42043987689
"65",98318,65,7628.71522529495
"66",654312,66,7610.42675313132
"67",55107,67,7593.9571952381
"68",306551,68,7549.32161718311
"69",2110229,69,7478.00676766917
"70",42504,70,7438.07632587821
"71",108504,71,7426.74250714286
"72",395870,72,7406.82271236264
"73",478543,73,7373.6122452381
"74",421438,74,7265.32204078144
"75",769246,75,7232.00950250896
"76",72659,76,7206.76358080122
"77",237876,77,7189.018886897
"78",181834,78,7086.41251648819
"79",454241,79,7083.10131088943
"80",129856,80,7053.70073376623
"81",405324,81,6979.99355238095
"82",90341,82,6963.036975
"83",551512,83,6952.57395079365
"84",498880,84,6889.16913901099
"85",48529,85,6859.69883888889
"86",339047,86,6835.24889935916
"87",434504,87,6782.44960587205
"88",169470,88,6754.18790746032
"89",607142,89,6747.25993597004
"90",489556,90,6743.81288216797
"91",302900,91,6635.22680902256
"92",265219,92,6633.22087340415
"93",774529,93,6611.97493741487
"94",142317,94,6603.34593597883
"95",357832,95,6563.22277081332
"96",273242,96,6530.63771506494
"97",159613,97,6499.25002421053
"98",64564,98,6437.05183751416
"99",280328,99,6352.0343542735
"100",524430,100,6318.95430147596
"101",690611,101,6300.21146691729
"102",135879,102,6294.44079143223
"103",691910,103,6291.6391
"104",104641,104,6275.94656062912
"105",161224,105,6265.55530653378
"106",134537,106,6246.76897859238
"107",498535,107,6233.9340436508
"108",230860,108,6223.1053956277
"109",38622,109,6220.48929328449
"110",13369,110,6172.05028311688
"111",385055,111,6146.06460976592
"112",784849,112,6145.67087444873
"113",70348,113,6141.86887303428
"114",120450,114,6138.5506015873
"115",336295,115,6136.69142045262
"116",284750,116,6118.97614736842
"117",321839,117,6101.16160440164
"118",217246,118,6100.31424437785
"119",248748,119,6083.29731279901
"120",300166,120,6059.84005463659
"121",2146158,121,6056.80731666667
"122",737063,122,6054.77122395445
"123",289397,123,6044.5803047619
"124",559415,124,6025.9756542312
"125",631249,125,6012.1163339947
"126",637254,126,5989.32914583152
"127",555102,127,5988.50018720539
"128",197671,128,5903.16325476191
"129",2194014,129,5888.98854102564
"130",53849,130,5880.82059047619
"131",522938,131,5870.89465802676
"132",196741,132,5868.90755157993
"133",634764,133,5856.27126825397
"134",416459,134,5814.78522466436
"135",150691,135,5799.94690295182
"136",794443,136,5791.15372063492
"137",2100985,137,5781.55988333333
"138",313272,138,5753.66224977259
"139",713848,139,5721.94965964912
"140",663478,140,5708.44179181286
"141",166323,141,5706.49812217031
"142",522535,142,5697.09563742785
"143",605863,143,5684.71266522429
"144",266131,144,5672.38144036815
"145",379783,145,5672.15806938607
"146",403840,146,5662.26057840803
"147",271431,147,5646.64393703704
"148",220201,148,5643.13813809524
"149",405856,149,5634.85845410217
"150",436299,150,5584.83124887218
"151",951032,151,5578.89817245906
"152",752109,152,5575.51507744361
"153",443722,153,5566.96713781788
"154",351305,154,5551.43172222222
"155",576932,155,5529.51372234432
"156",356288,156,5508.65545873016
"157",10835,157,5506.50778823498
"158",955790,158,5504.68164722222
"159",38146,159,5502.75067167277
"160",300177,160,5502.29934364121
"161",220544,161,5499.95232479311
"162",38830,162,5484.39668547008
"163",291599,163,5469.97290010628
"164",126707,164,5461.78610285943
"165",91851,165,5443.40981596639
"166",399014,166,5426.91320476191
"167",214160,167,5424.90189305556
"168",273684,168,5394.85698076849
"169",675288,169,5370.58601666666
"170",360127,170,5354.76585813923
"171",445055,171,5326.64053339623
"172",343202,172,5295.6580329289
"173",413828,173,5292.80169247857
"174",48335,174,5287.91925546937
"175",214858,175,5276.63822056366
"176",381510,176,5274.4901518978
"177",344713,177,5267.99267719126
"178",226753,178,5239.19556035305
"179",558461,179,5235.0524981685
"180",360841,180,5228.62460982708
"181",201123,181,5211.22529530781
"182",689336,182,5209.6732954268
"183",390087,183,5207.59332063492
"184",386826,184,5206.74875696792
"185",88256,185,5200.61292597044
"186",522148,186,5198.55305522138
"187",350482,187,5194.96729285643
"188",341099,188,5192.76986684488
"189",101755,189,5187.26301406778
"190",499512,190,5183.85510313131
"191",175221,191,5183.09298126804
"192",143426,192,5182.02108334076
"193",707183,193,5178.55881667938
"194",735771,194,5161.81676706349
"195",18663,195,5153.8625460618
"196",314461,196,5147.26344275268
"197",66571,197,5146.63899285219
"198",56667,198,5146.37322226809
"199",388818,199,5133.43585882025
"200",468123,200,5122.6565730323
"201",64432,201,5120.63039807853
"202",353109,202,5115.07846353951
"203",780626,203,5114.45989202683
"204",690430,204,5107.72893067577
"205",816490,205,5106.27105099029
"206",2147101,206,5100.66803378011
"207",78902,207,5098.8665133908
"208",166757,208,5097.05107660737
"209",369826,209,5089.8781299972
"210",18327,210,5086.64810371116
"211",452195,211,5085.40611147275
"212",602134,212,5084.60701968931
"213",173130,213,5083.96650144229
"214",70122,214,5083.41546952381
"215",465000,215,5082.14021830777
"216",571021,216,5079.10505539783
"217",142894,217,5073.10611336899
"218",604080,218,5070.24823029032
"219",426858,219,5062.6644362801
"220",478908,220,5056.85315232407
"221",350615,221,5056.26988118044
"222",2086049,222,5048.16150272005
"223",472984,223,5046.66925703212
"224",455627,224,5035.93815616652
"225",632278,225,5023.93265522138
"226",330152,226,5023.86530370931
"227",449373,227,5023.55453564591
"228",423451,228,5020.34249026037
"229",152567,229,5020.16831428571
"230",752275,230,5020.03850717954
"231",156393,231,5013.25715345594
"232",204810,232,5012.25618524721
"233",440558,233,5010.52939605984
"234",243105,234,5009.76867291469
"235",490137,235,5008.0556134127
"236",551526,236,5006.93944264902
